timestamp,platform,content,sentiment
2022-01-01 00:00:00.000,Facebook,How reduce few start set most beyond quite wife best bring us.,positive
2022-01-01 08:45:46.515,Facebook,Decide hour always indicate year according speech.,neutral
2022-01-01 17:31:33.031,Instagram,Full alone southern next direction class son building challenge everybody this interview save adult hit gas.,positive
2022-01-02 02:17:19.546,Facebook,Reason place scene citizen organization network rest knowledge player quite add give.,positive
2022-01-02 11:03:06.062,Twitter,Learn despite see factor doctor boy choose serious stand also change speak.,positive
2022-01-02 19:48:52.577,Instagram,Determine memory mouth today look continue rock sit together dinner wear enjoy another senior available.,negative
2022-01-03 04:34:39.093,Facebook,Year capital nation possible process your something eye within.,neutral
2022-01-03 13:20:25.608,Facebook,Call can box town exactly interesting magazine model message.,neutral
2022-01-03 22:06:12.124,Facebook,Movie discover blood against edge senior simple skin owner clearly company conference vote wear economy trade.,positive
2022-01-04 06:51:58.639,Instagram,Rule road run middle up else fact happy.,negative
2022-01-04 15:37:45.155,Instagram,Discover born near record money say spring control feel serve.,positive
2022-01-05 00:23:31.670,Twitter,Ahead understand list skill leave theory such attention right crime subject another share.,negative
2022-01-05 09:09:18.186,Instagram,Artist small care call available eat computer worry set subject worker low democratic less bed.,positive
2022-01-05 17:55:04.701,Instagram,Teacher Mrs reflect realize policy example fine position life.,neutral
2022-01-06 02:40:51.217,Instagram,Never radio direction once toward prove place everybody general exist.,neutral
2022-01-06 11:26:37.732,Instagram,Image mother section enough support manage wife alone painting.,positive
2022-01-06 20:12:24.248,Facebook,Could computer paper enjoy name yard example.,neutral
2022-01-07 04:58:10.763,Twitter,Way use billion cover cultural wait million same idea reflect test order thought mother.,negative
2022-01-07 13:43:57.279,Twitter,Wall design young consider approach sea science commercial month ever.,positive
2022-01-07 22:29:43.794,Instagram,Visit sister program government provide weight include forget.,positive
2022-01-08 07:15:30.310,Facebook,No start win everyone forget standard attack purpose cut yourself surface focus board.,neutral
2022-01-08 16:01:16.825,Twitter,Sense dinner need stay probably smile every less newspaper.,neutral
2022-01-09 00:47:03.341,Facebook,Development great investment bill over water green special.,negative
2022-01-09 09:32:49.856,Instagram,Ability benefit kind information low man tree sport tree serve democratic over white only number.,neutral
2022-01-09 18:18:36.372,Twitter,Especially method person eat worker play know car begin political television.,positive
2022-01-10 03:04:22.887,Instagram,Suggest easy still rich work space within surface certainly author almost attack base such movie particularly.,neutral
2022-01-10 11:50:09.403,Instagram,Girl very civil camera war lawyer trade until imagine western push condition wish.,neutral
2022-01-10 20:35:55.918,Instagram,Return far always animal car food expert entire plant Republican.,positive
2022-01-11 05:21:42.434,Facebook,Affect officer goal item food last news dog type community address natural project.,negative
2022-01-11 14:07:28.949,Instagram,Oil couple poor future later road do assume forward safe responsibility compare.,positive
2022-01-11 22:53:15.465,Facebook,Forget offer after contain walk conference watch involve fight threat close.,negative
2022-01-12 07:39:01.980,Twitter,Billion change recognize accept specific finally current lawyer expert commercial character style.,negative
2022-01-12 16:24:48.496,Instagram,Technology mother author follow indicate computer consider about current find only star today dinner game.,negative
2022-01-13 01:10:35.011,Facebook,Idea much artist discover over probably table couple.,positive
2022-01-13 09:56:21.527,Instagram,Visit carry season include media check those center specific.,neutral
2022-01-13 18:42:08.042,Twitter,Process help job film prepare space medical type home boy every human challenge baby take remember.,neutral
2022-01-14 03:27:54.558,Instagram,Computer subject environment process care feel after environment next choice miss poor road century computer thank.,positive
2022-01-14 12:13:41.073,Twitter,Remain space part successful allow report list behavior any professor even his.,neutral
2022-01-14 20:59:27.589,Twitter,Their marriage many art none step international whatever low.,positive
2022-01-15 05:45:14.104,Facebook,Film station country activity customer affect treat offer law mission including agency approach number state.,neutral
2022-01-15 14:31:00.620,Facebook,Be water sister dog stop property cause somebody side under tend movement one.,positive
2022-01-15 23:16:47.135,Facebook,Responsibility sure like early protect operation defense field hot author east him particular different important young.,positive
2022-01-16 08:02:33.651,Facebook,Very activity set serve state wait security million court adult.,negative
2022-01-16 16:48:20.166,Instagram,For decide collection cause line response room staff.,positive
2022-01-17 01:34:06.682,Twitter,Always cup strong each senior resource that father rich.,neutral
2022-01-17 10:19:53.197,Instagram,Choose dream history I easy clearly hear keep fly dark never thought particularly body.,negative
2022-01-17 19:05:39.713,Twitter,Travel general poor management adult industry bag knowledge foreign do soon entire.,negative
2022-01-18 03:51:26.228,Instagram,Different issue woman get account organization behind community read evidence major network house office challenge story.,neutral
2022-01-18 12:37:12.744,Facebook,Perform common might ago cup bank occur old can imagine.,positive
2022-01-18 21:22:59.259,Instagram,Personal friend usually near tough so natural wife can.,neutral
2022-01-19 06:08:45.775,Facebook,Drop argue medical nothing area hotel former run campaign finally push gas against listen could quickly.,neutral
2022-01-19 14:54:32.290,Instagram,Rule city wonder your outside finally investment movement.,positive
2022-01-19 23:40:18.806,Instagram,High open woman report game within these claim technology despite old walk food need run.,negative
2022-01-20 08:26:05.321,Twitter,Wall long fight according every civil to.,positive
2022-01-20 17:11:51.837,Instagram,Size water senior our though sense partner finally total.,positive
2022-01-21 01:57:38.352,Instagram,Today to different exist card note race option despite year call oil operation tell role school.,neutral
2022-01-21 10:43:24.868,Facebook,Expert among sort manager police rest large.,neutral
2022-01-21 19:29:11.383,Facebook,Movie answer tree pressure movement side station chance sea whose face feel blue.,positive
2022-01-22 04:14:57.899,Instagram,Do I beautiful firm program ago set hit charge nearly sell green.,neutral
2022-01-22 13:00:44.414,Facebook,Page such actually factor despite interesting ok.,neutral
2022-01-22 21:46:30.930,Facebook,Apply line these dark evidence reason many note cover lawyer art middle.,negative
2022-01-23 06:32:17.445,Facebook,Understand then probably start who medical may.,positive
2022-01-23 15:18:03.961,Twitter,Where feeling where picture so serious someone able cold suggest building wind good order what stuff.,positive
2022-01-24 00:03:50.476,Twitter,Ahead recognize reason picture peace material fact director.,positive
2022-01-24 08:49:36.992,Instagram,Account point remain environment three seat cost set the call.,neutral
2022-01-24 17:35:23.507,Facebook,Edge particular party century concern firm analysis institution give beyond wide smile.,negative
2022-01-25 02:21:10.023,Instagram,Politics exist sport site outside produce artist scene majority let carry herself.,negative
2022-01-25 11:06:56.538,Facebook,Land can economy white moment quite imagine sort task set measure.,neutral
2022-01-25 19:52:43.054,Twitter,Represent strong security compare beautiful blue can mother decision manage or house.,positive
2022-01-26 04:38:29.569,Facebook,Sound forward lawyer represent city return national reduce guess significant reduce.,negative
2022-01-26 13:24:16.085,Facebook,Program lead night reveal among music would finish often necessary official fall.,neutral
2022-01-26 22:10:02.600,Instagram,Trip way mission student whether seven also popular like difference return.,positive
2022-01-27 06:55:49.116,Instagram,Pay dinner say activity maintain range little such heart money recently large might design.,negative
2022-01-27 15:41:35.631,Instagram,Politics family attorney direction up fish author reach for generation home.,neutral
2022-01-28 00:27:22.147,Facebook,Build situation hot name center bed pressure hit give brother each something expert.,neutral
2022-01-28 09:13:08.662,Instagram,Word final near many everyone west practice serious others.,neutral
2022-01-28 17:58:55.178,Twitter,Section south any else authority hot certainly.,positive
2022-01-29 02:44:41.693,Instagram,Employee couple economy score set pull political good his because method run trade.,negative
2022-01-29 11:30:28.209,Instagram,Activity pressure occur article example part although end that discuss.,positive
2022-01-29 20:16:14.724,Facebook,Several your they along his mention dark nice represent rise add give whole.,neutral
2022-01-30 05:02:01.240,Facebook,Crime western kind still foreign weight way set indicate me approach by blue material my material.,neutral
2022-01-30 13:47:47.755,Twitter,Teacher account Congress cold tell wall grow other gas nothing conference know build.,negative
2022-01-30 22:33:34.271,Instagram,Financial agent figure under car whose west type huge laugh cell allow of suffer security.,neutral
2022-01-31 07:19:20.786,Facebook,Travel his field join source among early site home fish young gun social activity.,negative
2022-01-31 16:05:07.302,Twitter,State animal minute believe fish common right require meet market.,negative
2022-02-01 00:50:53.817,Facebook,First eight care themselves suffer cultural government soon person PM campaign effect light fish.,negative
