timestamp,user_id,page,action
2022-01-01 00:00:00.000,CUST197,blog,click
2022-01-01 08:45:46.515,CUST113,categories,purchase
2022-01-01 17:31:33.031,CUST122,tag/tags,purchase
2022-01-02 02:17:19.546,CUST179,wp-content,view
2022-01-02 11:03:06.062,CUST157,search,view
2022-01-02 19:48:52.577,CUST139,tag,add_to_cart
2022-01-03 04:34:39.093,CUST106,categories/tag/category,purchase
2022-01-03 13:20:25.608,CUST172,category/main/explore,purchase
2022-01-03 22:06:12.124,CUST166,tags/tags,view
2022-01-04 06:51:58.639,CUST132,categories,add_to_cart
2022-01-04 15:37:45.155,CUST198,explore/category,purchase
2022-01-05 00:23:31.670,CUST186,categories/categories,view
2022-01-05 09:09:18.186,CUST154,categories,purchase
2022-01-05 17:55:04.701,CUST178,tag/main/categories,click
2022-01-06 02:40:51.217,CUST171,explore/search/list,view
2022-01-06 11:26:37.732,CUST118,wp-content/tags,add_to_cart
2022-01-06 20:12:24.248,CUST172,app/explore,add_to_cart
2022-01-07 04:58:10.763,CUST163,blog,view
2022-01-07 13:43:57.279,CUST113,category/category/main,click
2022-01-07 22:29:43.794,CUST167,app,view
2022-01-08 07:15:30.310,CUST192,app/search/wp-content,purchase
2022-01-08 16:01:16.825,CUST143,categories,view
2022-01-09 00:47:03.341,CUST111,category/tag,view
2022-01-09 09:32:49.856,CUST124,posts,purchase
2022-01-09 18:18:36.372,CUST112,tags/app/category,purchase
2022-01-10 03:04:22.887,CUST149,search/blog,add_to_cart
2022-01-10 11:50:09.403,CUST114,explore/app/category,view
2022-01-10 20:35:55.918,CUST165,wp-content/tags,add_to_cart
2022-01-11 05:21:42.434,CUST108,posts,purchase
2022-01-11 14:07:28.949,CUST198,app/tags/category,purchase
2022-01-11 22:53:15.465,CUST130,app/app/wp-content,click
2022-01-12 07:39:01.980,CUST186,wp-content/list,purchase
2022-01-12 16:24:48.496,CUST168,list/wp-content,click
2022-01-13 01:10:35.011,CUST125,app/explore,purchase
2022-01-13 09:56:21.527,CUST123,explore/app,click
2022-01-13 18:42:08.042,CUST135,search/category,click
2022-01-14 03:27:54.558,CUST133,category,purchase
2022-01-14 12:13:41.073,CUST175,list/explore/categories,purchase
2022-01-14 20:59:27.589,CUST123,posts/category,click
2022-01-15 05:45:14.104,CUST179,tags/wp-content,add_to_cart
2022-01-15 14:31:00.620,CUST139,list,purchase
2022-01-15 23:16:47.135,CUST110,explore/tags,purchase
2022-01-16 08:02:33.651,CUST176,list,view
2022-01-16 16:48:20.166,CUST119,posts/list,add_to_cart
2022-01-17 01:34:06.682,CUST106,explore/explore/wp-content,purchase
2022-01-17 10:19:53.197,CUST106,category/app/tags,click
2022-01-17 19:05:39.713,CUST130,posts/wp-content,purchase
2022-01-18 03:51:26.228,CUST172,categories/search/blog,click
2022-01-18 12:37:12.744,CUST129,categories/tag,purchase
2022-01-18 21:22:59.259,CUST153,app,view
2022-01-19 06:08:45.775,CUST153,posts/blog,add_to_cart
2022-01-19 14:54:32.290,CUST164,search,click
2022-01-19 23:40:18.806,CUST173,wp-content,view
2022-01-20 08:26:05.321,CUST182,app/explore,click
2022-01-20 17:11:51.837,CUST122,tags/app,view
2022-01-21 01:57:38.352,CUST120,tag/list,add_to_cart
2022-01-21 10:43:24.868,CUST197,tag,purchase
2022-01-21 19:29:11.383,CUST186,explore/tag/category,click
2022-01-22 04:14:57.899,CUST186,search/list/category,purchase
2022-01-22 13:00:44.414,CUST101,explore/categories/posts,click
2022-01-22 21:46:30.930,CUST103,app,add_to_cart
2022-01-23 06:32:17.445,CUST143,search/app,view
2022-01-23 15:18:03.961,CUST172,wp-content/app,view
2022-01-24 00:03:50.476,CUST182,main/wp-content,click
2022-01-24 08:49:36.992,CUST169,blog/categories/search,add_to_cart
2022-01-24 17:35:23.507,CUST111,app/tag,add_to_cart
2022-01-25 02:21:10.023,CUST126,categories,click
2022-01-25 11:06:56.538,CUST155,main/list,add_to_cart
2022-01-25 19:52:43.054,CUST195,blog/tag,add_to_cart
2022-01-26 04:38:29.569,CUST122,app,click
2022-01-26 13:24:16.085,CUST138,app/tag/blog,add_to_cart
2022-01-26 22:10:02.600,CUST143,main/app,add_to_cart
2022-01-27 06:55:49.116,CUST143,main/explore/main,click
2022-01-27 15:41:35.631,CUST164,app,click
2022-01-28 00:27:22.147,CUST142,wp-content,purchase
2022-01-28 09:13:08.662,CUST155,tags/search,view
2022-01-28 17:58:55.178,CUST129,categories/categories/explore,add_to_cart
2022-01-29 02:44:41.693,CUST139,categories,click
2022-01-29 11:30:28.209,CUST151,category/category/category,purchase
2022-01-29 20:16:14.724,CUST162,search/categories,click
2022-01-30 05:02:01.240,CUST136,explore,view
2022-01-30 13:47:47.755,CUST163,tag/tags/search,purchase
2022-01-30 22:33:34.271,CUST182,categories/tag/list,add_to_cart
2022-01-31 07:19:20.786,CUST144,search,view
2022-01-31 16:05:07.302,CUST167,posts,view
2022-02-01 00:50:53.817,CUST115,list/blog/tags,add_to_cart
2022-02-01 09:36:40.333,CUST123,list/wp-content/app,click
2022-02-01 18:22:26.848,CUST147,main,click
2022-02-02 03:08:13.364,CUST140,category/explore,click
2022-02-02 11:53:59.879,CUST151,app/list/search,view
2022-02-02 20:39:46.395,CUST151,wp-content/explore/categories,click
2022-02-03 05:25:32.910,CUST137,tag/wp-content/category,click
2022-02-03 14:11:19.426,CUST195,blog/explore/list,add_to_cart
2022-02-03 22:57:05.941,CUST118,explore/posts,click
2022-02-04 07:42:52.457,CUST118,category/categories,click
2022-02-04 16:28:38.972,CUST108,categories,view
2022-02-05 01:14:25.488,CUST113,tags,add_to_cart
2022-02-05 10:00:12.004,CUST162,wp-content/app,purchase
2022-02-05 18:45:58.519,CUST126,search/app/wp-content,purchase
2022-02-06 03:31:45.035,CUST154,wp-content,purchase
2022-02-06 12:17:31.550,CUST169,tag/categories/app,add_to_cart
2022-02-06 21:03:18.066,CUST158,categories/list/tag,add_to_cart
2022-02-07 05:49:04.581,CUST198,wp-content/blog/main,purchase
2022-02-07 14:34:51.097,CUST156,blog/wp-content/blog,click
2022-02-07 23:20:37.612,CUST103,explore/categories,add_to_cart
2022-02-08 08:06:24.128,CUST161,blog/category,view
2022-02-08 16:52:10.643,CUST108,category/blog/app,click
2022-02-09 01:37:57.159,CUST147,main/main/posts,add_to_cart
2022-02-09 10:23:43.674,CUST151,tag/category/explore,add_to_cart
2022-02-09 19:09:30.190,CUST178,explore,add_to_cart
2022-02-10 03:55:16.705,CUST148,tags/category,purchase
2022-02-10 12:41:03.221,CUST185,categories,view
2022-02-10 21:26:49.736,CUST150,blog,view
2022-02-11 06:12:36.252,CUST139,category/explore,add_to_cart
2022-02-11 14:58:22.767,CUST169,main/main,click
2022-02-11 23:44:09.283,CUST149,list,view
2022-02-12 08:29:55.798,CUST126,main/posts/tags,view
2022-02-12 17:15:42.314,CUST162,wp-content/search/main,add_to_cart
2022-02-13 02:01:28.829,CUST144,blog/list/app,purchase
2022-02-13 10:47:15.345,CUST136,app/wp-content,view
2022-02-13 19:33:01.860,CUST197,explore/tags,click
2022-02-14 04:18:48.376,CUST190,main/tag,view
2022-02-14 13:04:34.891,CUST176,blog/categories,click
2022-02-14 21:50:21.407,CUST108,explore/blog/blog,view
2022-02-15 06:36:07.922,CUST183,tag/category,view
2022-02-15 15:21:54.438,CUST171,explore/wp-content,purchase
2022-02-16 00:07:40.953,CUST117,tags/explore,purchase
2022-02-16 08:53:27.469,CUST163,list,add_to_cart
2022-02-16 17:39:13.984,CUST132,blog/tag,add_to_cart
2022-02-17 02:25:00.500,CUST168,tag,purchase
2022-02-17 11:10:47.015,CUST174,list/blog/tag,click
2022-02-17 19:56:33.531,CUST101,explore,view
2022-02-18 04:42:20.046,CUST122,search/category,purchase
2022-02-18 13:28:06.562,CUST153,category/app,add_to_cart
2022-02-18 22:13:53.077,CUST130,category,purchase
2022-02-19 06:59:39.593,CUST101,explore,view
2022-02-19 15:45:26.108,CUST181,search/tag,purchase
2022-02-20 00:31:12.624,CUST133,app/category,purchase
2022-02-20 09:16:59.139,CUST134,categories,view
2022-02-20 18:02:45.655,CUST168,category/category,view
2022-02-21 02:48:32.170,CUST134,category/posts,add_to_cart
2022-02-21 11:34:18.686,CUST163,app/app/list,purchase
2022-02-21 20:20:05.201,CUST129,main/app/tag,purchase
2022-02-22 05:05:51.717,CUST156,blog/tags/blog,view
2022-02-22 13:51:38.232,CUST155,main/main/main,click
2022-02-22 22:37:24.748,CUST179,explore,purchase
2022-02-23 07:23:11.263,CUST147,blog/wp-content/tag,click
2022-02-23 16:08:57.779,CUST183,categories,add_to_cart
2022-02-24 00:54:44.294,CUST120,tags/main,add_to_cart
2022-02-24 09:40:30.810,CUST142,blog/main,view
2022-02-24 18:26:17.325,CUST171,blog/tags/categories,view
2022-02-25 03:12:03.841,CUST159,main/main/tag,add_to_cart
2022-02-25 11:57:50.356,CUST167,tags/categories/wp-content,click
2022-02-25 20:43:36.872,CUST187,main/explore,click
2022-02-26 05:29:23.387,CUST124,blog/category,click
2022-02-26 14:15:09.903,CUST107,posts/categories/list,view
2022-02-26 23:00:56.418,CUST141,wp-content,click
2022-02-27 07:46:42.934,CUST128,explore/search/posts,view
2022-02-27 16:32:29.449,CUST196,app,purchase
2022-02-28 01:18:15.965,CUST150,tags/app/explore,view
2022-02-28 10:04:02.480,CUST153,search/search/category,purchase
2022-02-28 18:49:48.996,CUST153,wp-content,view
2022-03-01 03:35:35.511,CUST119,categories,view
